Teorica,PESO PRENDA,LARGO DE CUERPO,AREA,DE_MODELO
219,98,26.5,1987.5,SM8 TOP-2S
112,33,11.5,897,SM8 TOP-2S
163,75,21,1386,SM8 TOP-2S
287,52,18,1260,SM8 TOP-2S
336,98,35,2870,SM8 TOP-2S
359,90,20,1420,SM8 TOP-2S
340,170,44,3168,SM8 TOP-2S
280,96,34,2380,SM8 TOP-2S
320,146,33.5,2479,SM8 TOP-2S
265,127,33,2640,SM8 TOP-2S
427,62,13,1001,SM8 TOP-2S
224,116,31,2914,TOP2 V
296,131,24,2424,TOP2 V
237,161,34,3196,TOP2 V
288,93,21,1743,TOP2 V
453,166,94,9212,TOP2 V
430,195,98,0,TOP2 V
430,134,66,5544,TOP2 V
458,143,100,8000,TOP2 V
295,152,54,5400,TOP2 V
286,131,69,6072,TOP2 V
120,26,3,294,TOP2 V
255,78,40,3120,TOP2 V
510,163,35,3325,TOP2 V
267,79,24.5,1666,TOP2 V
250,72,24.5,1690.5,TOP2 V
347,250,79,7742,TOP2 V
298,110,20,1480,TOP2 V
365,215,87,8091,TOP2 V
349,163,82.5,8745,TOP2 V
320,106,19,1938,TOP2 V
340,122,34.5,2829,TOP2 V
631,205,72,6696,TOP2 V
444,156,90,6930,TOP2 V
348,166,41.5,3361.5,TOP2 V
222,57,15.5,1457,TOP2 V
379,255,89,8900,TOP2 V
339,226,69,8142,TOP2 V
389,115,77,5698,TOP2 V
473,186,100,6200,TOP2 V
235,109,39.5,3239,TOP2 V
238,100,41,3362,TOP2 V
281,136,36,3852,TOP2 V
295,138,45,3915,TOP2 V
320,106,19,1938,TOP2 V
510,202,66.5,5586,TOP2 V
179,69,11,1089,TOP2 V
447,173,38.5,3234,TOP2 V
205,107,40,2560,TOP2 V
368,129,34,3298,TOP2 V
333,136,55.5,4995,TOP2 V
594,157,59.5,5831,TOP2 V
575,202,64,5888,TOP2 V
285,207,36,3456,TOP2 V
344,118,3,294,TOP2 V
120,26,3,294,TOP2 V
532,218,41.5,3527.5,TOP2 V
347,121,35,2800,TOP2 V
267,150,38,3534,TOP2 V
453,139,72.5,7975,TOP2 V
438,141,87,6612,TOP2 V
425,115,34.5,3588,TOP2 V
278,81,48,3552,TOP2 V
382,56,15.5,1209,TOP2 V
415,172,98,0,TOP2 V
574,75,50,3600,TOP2 V
456,134,100,9000,TOP2 V
328,114,43.5,3915,TOP2 V
384,159,45.5,4777.5,TOP2 V
538,238,82,8692,TOP2 V
320,106,19,1938,TOP2 V
341,124,58,4872,TOP2 V
238,67,24,1992,TOP2 V
227,66,36.5,2920,TOP2 V
267,77,48.5,3492,TOP2 V
355,107,63,4914,TOP2 V
324,183,64,6400,TOP2 V
574,255,71,7881,TOP2 V
381,122,47,4183,TOP2 V
317,102,57,4503,TOP2 V
400,143,59,5074,TOP2 V
458,74,39.5,3081,TOP2 V
288,87,20.5,1886,TOP2 V
334,231,92,9844,TOP2 V
234,113,46,4324,TOP2 V
463,202,63,6930,TOP2 V
292,98,35.5,2946.5,TOP2 V
185,51,20.5,1701.5,TOP2 V
106,52,16.5,1600.5,TOP2 V
556,205,84.5,7267,TOP2 V
166,42,9.5,874,TOP2 V
583,80,50,3950,TOP2 V
420,182,37,3256,TOP2 V
183,57,22.5,1665,SM8 TOP-2S
462,221,94,7144,SM8 TOP-2S
252,85,23,1794,SM8 TOP-2S
295,125,47.5,3705,SM8 TOP-2S
229,72,28.5,1909.5,SM8 TOP-2S
331,181,39.5,3397,SM8 TOP-2S
215,119,72.5,3770,SM8 TOP-2S
192,64,33,2574,SM8 TOP-2S
339,125,76,5396,SM8 TOP-2S
162,75,28,2352,SM8 TOP-2S
218,55,35,2205,SM8 TOP-2S
304,93,56.5,3616,SM8 TOP-2S
227,94,35,2730,SM8 TOP-2S
180,74,29,2175,SM8 TOP-2S
285,109,37,2960,SM8 TOP-2S
172,88,35,3045,SM8 TOP-2S
185,62,26,2080,SM8 TOP-2S
218,68,44.5,2981.5,SM8 TOP-2S
233,154,45.5,3321.5,SM8 TOP-2S
352,178,110,8800,SM8 TOP-2S
206,88,34.5,2553,SM8 TOP-2S
204,99,34,2992,SM8 TOP-2S
372,40,18,1260,SM8 TOP-2S
244,24,6.5,461.5,SM8 TOP-2S
359,107,68.5,4315.5,SM8 TOP-2S
303,89,54.5,3651.5,SM8 TOP-2S
482,189,93,7440,SM8 TOP-2S
243,93,47,3572,SM8 TOP-2S
187,54,22.5,1755,SM8 TOP-2S
233,67,33,2541,SM8 TOP-2S
167,85,23.5,1692,SM8 TOP-2S
301,46,24,1944,SM8 TOP-2S
402,223,82,6396,SM8 TOP-2S
229,63,27,1782,SM8 TOP-2S
323,192,94,7520,SM8 TOP-2S
308,42,22,1496,SM8 TOP-2S
155,43,34.5,3036,SM8 TOP-2S
476,116,70.5,6768,SM8 TOP-2S
261,194,86.5,7871.5,SM8 TOP-2S
334,264,83,7470,SM8 TOP-2S
198,48,22,1496,SM8 TOP-2S
247,59,20,1460,SM8 TOP-2S
227,91,37.5,2850,SM8 TOP-2S
200,65,33,2409,SM8 TOP-2S
359,80,30.5,2318,SM8 TOP-2S
267,90,24,1728,SM8 TOP-2S
215,93,28.5,2223,SM8 TOP-2S
263,117,39,3003,SM8 TOP-2S
333,177,39.5,3239,SM8 TOP-2S
246,85,39.5,2409.5,SM8 TOP-2S
208,81,29.5,2301,SM8 TOP-2S
196,82,39,3042,SM8 TOP-2S
191,101,50,4300,SM8 TOP-2S
329,170,40.5,3361.5,SM8 TOP-2S
220,103,37,3182,SM8 TOP-2S
185,47,19,1216,SM8 TOP-2S
219,120,37,2886,SM8 TOP-2S
339,182,32,2624,SM8 TOP-2S
342,108,38,3534,SM8 TOP-2S
245,125,33,2838,SM8 TOP-2S
223,59,35,2590,SM8 TOP-2S
234,69,37,2294,SM8 TOP-2S
211,70,33,2640,SM8 TOP-2S
237,118,35,2870,SM8 TOP-2S
386,149,76.5,0,SM8 TOP-2S
234,81,70.5,6345,SM8 TOP-2S
650,164,132,12936,SM8 TOP-2S
144,39,19,1368,SM8 TOP-2S
338,95,31,2573,SM8 TOP-2S
200,78,29,2262,SM8 TOP-2S
412,137,59,5192,SM8 TOP-2S
